mnemonic,title,processors,section,printed_page,pdf_page,form,x,n,z,v,c,x_note,n_note,z_note,v_note,c_note,qualifier
MOVE to CCR,Move to Condition Code Register,(M68000 Family),4,4-123,227,table,*,*,*,*,*,38,39,40,41,42,
MOVE from SR,Move from the Status Register,"(MC68000, MC68008)",4,4-125,229,prose,—,—,—,—,—,,,,,,
MOVE16,Move 16-Byte Block,(MC68040),4,4-126,230,prose,—,—,—,—,—,,,,,,
MOVEM,Move Multiple Registers,(M68000 Family),4,4-128,232,prose,—,—,—,—,—,,,,,,
MOVEP,Move Peripheral Data,(M68000 Family),4,4-131,235,prose,—,—,—,—,—,,,,,,
MOVEQ,Move Quick,(M68000 Family),4,4-134,238,table,—,*,*,0,0,,4,5,,,
MULS,Signed Multiply,(M68000 Family),4,4-135,239,table,—,*,*,*,0,,4,5,43,,Overflow (V = 1) can occur only when multiplying 32-bit operands to yield a 32-bit result. Overflow occurs if the high-order 32 bits of the quad-word product are not the sign extension of the low-order 32 bits.
MULU,Unsigned Multiply,(M68000 Family),4,4-138,242,table,—,*,*,*,0,,4,5,43,,Overflow (V = 1) can occur only when multiplying 32-bit operands to yield a 32-bit result. Overflow occurs if any of the high-order 32 bits of the quad-word product are not equal to zero.
NBCD,Negate Decimal with Extend,(M68000 Family),4,4-141,245,table,*,U,*,U,*,1,,2,,44,Normally the Z condition code bit is set via programming before the start of the operation. This allows successful tests for zero results upon completion of multiple-precision operations.
NEG,Negate,(M68000 Family),4,4-143,247,table,*,*,*,*,*,1,4,5,8,45,
NEGX,Negate with Extend,(M68000 Family),4,4-145,249,table,*,*,*,*,*,1,4,2,8,27,Normally the Z condition code bit is set via programming before the start of the operation. This allows successful tests for zero results upon completion of multiple-precision operations.
NOP,No Operation,(M68000 Family),4,4-147,251,prose,—,—,—,—,—,,,,,,
NOT,Logical Complement,(M68000 Family),4,4-148,252,table,—,*,*,0,0,,4,5,,,
OR,Inclusive-OR Logical,(M68000 Family),4,4-150,254,table,—,*,*,0,0,,10,5,,,
ORI,Inclusive-OR,(M68000 Family),4,4-153,257,table,—,*,*,0,0,,10,5,,,
ORI to CCR,Inclusive-OR Immediate to Condition Codes,(M68000 Family),4,4-155,259,table,*,*,*,*,*,46,47,48,49,50,
PACK,Pack,"(MC68020, MC68030, MC68040)",4,4-156,260,prose,—,—,—,—,—,,,,,,
PEA,Push Effective Address,(M68000 Family),4,4-159,263,prose,—,—,—,—,—,,,,,,
"ROL, ROR",Rotate (Without Extend),(M68000 Family),4,4-160,264,table,—,*,*,0,*,,10,5,,51,
